 名称,许可证号,许可证有效期,地址,经营项目,经营方式,食品类型,主题类型 ,lat,lng,town
 佛山市南海区万事好烟酒行,SP4406821350083405,12/23/2016,佛山市南海区大沥镇盐步穗盐东路花地湾雍景豪园港湾会所首层2号商铺,预包装食品、乳制品,零售, , ,23.097434,113.194264,大沥镇,季华5路
 佛山市南海区福添商行,SP4406821350083243,12/22/2016,佛山市南海区狮山镇罗村佛山中南农产品交易中心东二区A014号仓,预包装食品,零售, , ,23.124953,113.002144,狮山镇,博爱路
 佛山市南海区桂城皇冠蛋糕店里水分店,SP4406821110181918,01/25/2017,佛山市南海区里水镇朝阳路22号,预包装食品、散装食品、乳制品,零售, , ,23.096964,112.872485,丹灶镇,朝阳路
 佛山市南海区罗村群云便利店,SP4406821050176152,12/22/2016,佛山市南海区罗村城西区长庚大道金湖广场商业步行街51号,预包装食品,零售, , ,23.061934,113.035215,狮山镇,贵隆路
 佛山市南海区美合坚冷冻食品商行,SP4406821350083251,12/22/2016,佛山市南海区狮山镇罗村佛山中南农产品交易中心东二区A042号仓,预包装食品,零售, , ,23.124953,113.002144,狮山镇,博爱路
 佛山市昌明雅乐轩酒店有限公司,SP4406821010179328,12/27/2016,佛山市南海区狮山镇穆院村（狮山镇博爱路）,预包装食品,零售, , ,23.124953,113.002144,狮山镇,博爱路
 佛山市南海区桂城岳记杂货店,SP4406821150181107,12/17/2016,佛山市南海区桂城叠北村村头108号对面,预包装食品,零售, , ,23.03704,113.138438,桂城街道,桂城镇东约区新邨大街
 佛山市南海区西樵和友杂货店,SP4406821350083106,12/19/2016,佛山市南海区西樵镇崇南十七队北华新村宝宁街1号首层,预包装食品、乳制品,零售, , ,22.932598,112.997663,西樵镇,
 佛山市南海区罗村康大威肉食购销部,SP4406821010164126,08/18/2016,佛山市南海区狮山镇罗村罗湖内滩新湖一路25号南鸣楼15号车库,预包装食品,批发兼零售, , ,23.060108,113.044334,狮山镇,新湖一路
 佛山市南海区旺达盛冻品店,SP4406821350083235,12/22/2016,佛山市南海区狮山镇罗村佛山中南农产品交易中心东一区A004号仓,预包装食品,零售, , ,23.124953,113.002144,狮山镇,博爱路
 佛山市南海区信意冻品经销部,SP4406821150220300,09/22/2014,佛山市南海区狮山镇罗村佛山中南农产品交易中心内东二区A024号仓,预包装食品,零售, , ,23.124953,113.002144,狮山镇,博爱路
 佛山市南海区西樵森记杂货店,SP4406821350083091,12/19/2016,佛山市南海区西樵镇岭西十三队公路边1号铺位,预包装食品、乳制品,零售, , ,22.932598,112.997663,西樵镇,
 佛山市南海盐步样娣河粉店,SP4406821050179047,12/23/2016,佛山市南海区大沥镇盐步盈丰市场粉面3号铺,散装食品,零售, , ,23.112067,113.104895,大沥镇,新城大道辅路
 佛山市好灶头农产品贸易有限公司,SP4406821310083208,12/22/2016,佛山市南海区狮山镇罗村佛山中南农产品交易中心内西二区A013号仓,预包装食品,零售, , ,23.124953,113.002144,狮山镇,博爱路
 佛山市南海区九江普米仕商行,SP4406821350079038,11/11/2016,佛山市南海区九江镇江滨新区阳光海岸花园绿景阁105号商铺,预包装食品、乳制品,零售, , ,22.835291,112.98636,九江镇,江滨二路
 佛山市明熙行贸易有限公司,SP4406821210036711,11/05/2015,佛山市南海区桂城街道深海路17号瀚天科技城A区8号楼5楼507单元,预包装食品,批发, , ,23.031166,113.170309,桂城街道,深海路
 佛山市南海区里水周余英粮油店,SP4406821350083317,12/22/2016,佛山市南海区里水镇里水商贸中心市场首层477号铺位,预包装食品、散装食品、乳制品,批发兼零售, , ,23.187531,113.155164,里水镇,石荣路
 佛山市南海区西樵予康药店,SP4406821350083083,12/19/2016,佛山市南海区西樵镇西岸新城区新城中路北101号山林水语新城129号、130号商铺,预包装食品、乳制品,零售, , ,22.879075,112.878526,九江镇,X517(常安路)
 佛山市南海区黄岐梦真日用品商行,SP4406821050178530,12/18/2016,佛山市南海区黄岐黄海路怡富广场188号铺（首层）,预包装食品,零售, , ,23.111182,113.180909,大沥镇,黄海路
 佛山市南海区西樵佛隆食品商行,SP4406821350082988,12/17/2016,佛山市南海区西樵镇西樵山白云洞景区内（白云商铺1号）,预包装食品、乳制品,零售, , ,22.936027,112.959628,西樵镇,樵园路
 佛山市南海区西樵梓攸商店,SP4406821350083000,12/17/2016,佛山市南海区西樵镇民乐致兴路希美家纺旁,预包装食品、乳制品,零售, , ,22.932598,112.997663,西樵镇,
 佛山市南海区九江康源品便利店,SP4406821350083413,12/23/2016,佛山市南海区九江镇新堤西路22号金港湾商铺118,预包装食品,零售, , ,22.836804,112.986412,九江镇,新堤西路
 佛山市南海区罗村华仁兴食品有限公司,SP4406821110207890,06/27/2014,佛山市南海区狮山镇罗村佛山中南农产品交易中心内东二区A021号仓,预包装食品,批发兼零售, , ,23.124953,113.002144,狮山镇,博爱路
 佛山市南海增健粮油有限公司,SP4406821310082980,12/17/2016,佛山市南海区桂城街平北社区六村大道二十三巷1号首层之一,预包装食品,批发兼零售, , ,23.029549,113.19341,桂城街道,六村大道
 佛山市南海区路记粮油店,SP4406821050177008,12/17/2016,佛山市南海区罗村罗湖新湖一路南兴楼首层二号,预包装食品,批发兼零售, , ,23.031794,112.931068,丹灶镇,
 佛山市南海九龙思骏加油站有限公司,SP4406821010098235,01/21/2016,佛山市南海区广湛公路九江下北路段,预包装食品,零售, , ,22.826178,113.01866,九江镇,G325(广南线)
 佛山市南海大沥乐远婴儿用品店,SP4406821350083350,12/23/2016,佛山市南海区大沥镇盐步环镇北路23号首层铺位之6铺,预包装食品、乳制品,批发兼零售, , ,23.091888,113.174653,大沥镇,环镇北路
 佛山市南海区里水一帆百货店,SP4406821350083325,12/22/2016,佛山市南海区里水镇里广路12-1号首层,预包装食品、散装食品、乳制品,零售, , ,23.180853,113.195854,里水镇,里广路
 佛山市南海区西樵丽华杂货店,SP4406821350083042,12/17/2016,佛山市南海区西樵轻纺城翠云街9号,预包装食品、乳制品,零售, , ,22.957338,112.973323,西樵镇,聚云街
 佛山市南海区营丰百货店,SP4406821350082857,12/17/2016,佛山市南海区狮山镇罗村北湖二路海星居漾晴轩101、102铺位,预包装食品、乳制品,零售, , ,23.066098,113.053015,狮山镇,北湖二路
 佛山市南海区乐游游母婴用品店,SP4406821350083026,12/17/2016,佛山市南海区西樵镇崇南涌口村伟业综合楼一楼117号铺,乳制品,零售, , ,22.957217,112.98125,西樵镇,启沅路
 佛山市南海区西樵小华杂货店,SP4406821350083034,12/17/2016,佛山市南海区西樵镇官山城区江浦西路88号吉祥楼1号铺,预包装食品、乳制品,零售, , ,22.942805,112.970458,西樵镇,文明路
 佛山市南海区丹灶吴争光生面店,SP4406821350083227,12/22/2016,佛山市南海区丹灶镇金沙联安综合市场A座25号铺,散装食品,零售, , ,23.030498,112.959118,丹灶镇,四约村北大街
 佛山市南海区西樵好鑫旺杂货店,SP4406821350083018,12/17/2016,佛山市南海区西樵镇百西村村头经济社（工业园百业大道边）商铺第A座22-24号,预包装食品、乳制品,批发兼零售, , ,22.964781,112.916996,西樵镇,百业大道东
 佛山市南海区西樵好乐捷便利店,SP4406821350082953,12/17/2016,佛山市南海区西樵镇樵金路之东轻纺城迎宾路对面的方亮综合楼首层4号铺,预包装食品、乳制品,零售, , ,22.952554,112.97404,西樵镇,广厦路
 佛山市南海区西樵飞飞杂货店,SP4406821350082605,12/15/2016,佛山市南海区西樵镇联新工业区樵华路大回环边的商铺,预包装食品、乳制品,零售, , ,22.932598,112.997663,西樵镇,
 佛山市南海区西樵云玲百货店,SP4406821350082621,12/15/2016,佛山市南海区西樵镇上金瓯松塘大塘岗路边,预包装食品、乳制品,零售, , ,22.900649,112.978682,西樵镇,
 佛山市南海区西樵好乐兴便利店,SP4406821350082613,12/15/2016,佛山市南海区西樵镇樵金路之东四季广场首层东面2号铺,预包装食品、乳制品,零售, , ,22.957136,112.97826,西樵镇,启沅路
 佛山市三水区百姓缘医药有限公司丹灶分店,SP4406821310083216,12/22/2016,佛山市南海区丹灶镇苏村岗第21-22号铺位,预包装食品、散装食品、乳制品,零售, , ,23.022295,112.902235,丹灶镇,万胜里
 佛山市南海罗村满家福百货商店,SP4406821350082832,12/17/2016,佛山市南海区狮山镇罗村沙坑白水坑工业区,预包装食品,零售, , ,23.070344,113.064623,狮山镇,X511(机场路)
 佛山市南海区西樵蓝盛商行,SP4406821350082630,12/15/2016,佛山市南海区西樵镇官山城区建设路六巷5号首层之一铺位,预包装食品、乳制品,零售, , ,23.143424,113.096136,狮山镇,建设路
 佛山市南海区大沥盐步佳乐百货店,SP4406821350083392,12/23/2016,佛山市南海区大沥镇盐步穗盐东路8号碧翠苑A01号商铺,预包装食品,零售, , ,23.096912,113.202158,大沥镇,穗盐东路
 佛山市南海区大沥凤发百货店,SP4406821350083384,12/23/2016,佛山市南海区大沥镇盐步海傍南路1号首层自编1-2号商铺,预包装食品、乳制品,零售, , ,23.086248,113.168254,大沥镇,海傍南路
 佛山市南海区嘉茹便利店,SP4406821050176128,12/12/2016,佛山市南海区桂城街道东二中心B区五巷4号首层铺2,预包装食品,零售, , ,22.993896,113.113035,石湾镇街道,金澜南路
 佛山市南海区大沥洋阳百货商店,SP4406821150179861,12/23/2016,佛山市南海区大沥镇盐步东秀聚龙新村33号首层,预包装食品,零售, , ,23.086792,113.187859,大沥镇,聚龙大道
 佛山市南海区浩峰桶装水店,SP4406821350082970,12/17/2016,佛山市南海区桂城街道平北西河村澳边工业大街12号首层之二,预包装食品,零售, , ,22.982342,112.896249,白坭镇,
 佛山市南海区金沙新安兰剑小卖部,SP4406821050179160,12/22/2016,佛山市南海区丹灶镇金沙新安南二员工村座西向东38、39号铺,预包装食品,零售, , ,23.030498,112.959118,丹灶镇,四约村北大街
 佛山市南海区西樵顺景粮油店,SP4406821350082996,12/17/2016,佛山市南海区西樵太平综合市场富达街15号,预包装食品,零售, , ,22.932152,112.90988,西樵镇,富达街
 佛山市南海区丹灶联沙康麦斯西饼屋,SP4406821350083202,12/22/2016,佛山市南海区丹灶镇金沙联沙大道联安市场侧广泰商场首层铺位,预包装食品、散装食品、乳制品,零售, , ,23.111556,112.919084,丹灶镇,X512(联沙大道)
 佛山市南海区西樵田源茶行,SP4406821350083155,12/19/2016,佛山市南海区西樵中坊村物华大街2号首层铺位,预包装食品、散装食品,零售, , ,22.954426,112.971991,西樵镇,樵华路
 佛山市南海区桐雅茶叶行,SP4406821350083368,12/23/2016,佛山市南海区大沥镇盐步穗盐路北3号迎海国际茶都自编C7-9、11、13号商铺,预包装食品、散装食品,批发兼零售, , ,23.097454,113.202949,大沥镇,穗盐东路
