 名称,地址,服务时间,类型,联系电话等,许可证号,许可证有效期 ,lat,lng,town
 佛山市南海区罗村景润食店,佛山市南海区罗村乐安开发区富安花园A区景安苑35号铺位, ,小型餐馆, ,粤餐证字2013440605002493,2016-07-28 00:00:00.0 ,22.942167,113.018295,南庄镇,罗村街
 佛山市南海区西樵刘记小吃店,佛山市南海区西樵镇官山城区江浦东路17座南首层12号商铺, ,小吃店, ,粤餐证字2013440605002494,2016-07-28 00:00:00.0 ,22.944657,112.981785,西樵镇,江浦东路
 佛山市南海区老张面馆,佛山市南海区狮山镇狮山中心城区俊景花园1座4号铺, ,小吃店, ,粤餐证字2013440605002500,2016-07-28 00:00:00.0 ,23.128694,113.001277,狮山镇,俊景中路
 佛山市桃花谷乡村饮食服务有限公司,佛山市南海区狮山镇松岗南国桃园内, ,大型餐馆, ,粤餐证字2013440605002502,2016-07-29 00:00:00.0 ,23.190824,113.091719,狮山镇,松云路
 佛山市南海松岗坤财饮食店,佛山市南海区狮山镇松岗石碣华兴农贸综合市场B11-13号铺, ,小型餐馆, ,粤餐证字2013440605002501,2016-07-28 00:00:00.0 ,23.124953,113.002144,狮山镇,博爱路
 佛山市南海区西樵彩云龙农庄,佛山市南海区西樵镇西岸大槎三队, ,中型餐馆, ,粤餐证字2013440605002498,2016-07-28 00:00:00.0 ,22.868177,112.885978,九江镇,Y242(西岸大道)
 佛山市南海区狮山赵金春美食店,佛山市南海区狮山镇狮山办事处白沙桥土名“门口田”铺位, ,中型餐馆, ,粤餐证字2013440605002499,2016-07-28 00:00:00.0 ,23.126301,113.001942,狮山镇,俊景南路
 佛山市南海区丹灶景逸酒家,佛山市南海区丹灶镇丹灶社区新楼东坊49号之一楼、二楼, ,中型餐馆, ,粤餐证字2013440605002508,2016-07-30 00:00:00.0 ,23.050007,112.90691,丹灶镇,云峰路
 一汽-大众汽车有限公司佛山分公司安监楼食堂,佛山市南海区狮山镇官窑虹岭一路1号, ,食堂, ,粤餐证字2013440605002510,2016-07-30 00:00:00.0 ,23.111011,113.060943,狮山镇,虹岭路
 佛山市南海区宁聚土菜馆,佛山市南海区桂城街道东二西约村工业区东二公园侧, ,中型餐馆, ,粤餐证字2013440605002503,2016-07-29 00:00:00.0 ,23.028673,113.151785,桂城街道,东二中心村B区一巷
 佛山市南海九江海沙岛度假村,佛山市南海区九江镇海寿新沙, ,小型餐馆, ,粤餐证字2013440605002505,2016-07-29 00:00:00.0 ,23.074541,113.029545,狮山镇,佳琪路
 佛山市南海和发东北饺子坊,佛山市南海区桂城桂澜中路6号东怡花园A区A座10号铺, ,小型餐馆, ,粤餐证字2013440605002504,2016-07-29 00:00:00.0 ,23.032077,113.150459,桂城街道,桂澜中路辅路
 佛山市南海冰嚓嚓奶茶店,佛山市南海区狮山镇小塘城区兴祥路怡德楼4号铺, ,饮品店, ,粤餐证字2013440605002511,2016-07-30 00:00:00.0 ,23.099157,112.977493,狮山镇,四环路
