 名称,许可证号,许可证有效期,地址,类型 ,lat,lng,town
 佛山市南海区丹灶镇郭娇小食店,粤餐证字2013440605002591,2016-08-13,佛山市南海区丹灶镇横江海滨路东17号铺,小吃店 ,23.041708,112.916421,丹灶镇,珍丰路
 佛山市南海区桂城文华幼儿园,粤餐证字2013440605002592,2016-08-13,佛山市南海区桂城街道桂园东一路32号,食堂 ,23.037252,113.121843,祖庙街道,大围街
 佛山市南海区里水中亚食府,粤餐证字2013440605002593,2015-08-07,佛山市南海区里水镇里广路146号,大型餐馆 ,23.195049,113.170809,里水镇,里广路
 佛山市南海区刘志国小吃店,粤餐证字2013440605002595,2016-08-13,佛山市南海区罗村罗湖新湖一路17号首层5号之二,小型餐馆 ,23.061097,113.044385,狮山镇,新湖一路
 佛山市南海桃盛饮食服务有限公司,粤餐证字2013440605002594,2016-08-13,佛山市南海区狮山镇松岗南国桃园旅游度假区,特大型餐馆 ,23.147192,113.096797,狮山镇,松岗大道
 佛山市南海区丹灶镇增记早餐店,粤餐证字2013440605002596,2016-08-13,佛山市南海区丹灶镇横江海滨路39号首层之一,小吃店 ,23.042153,112.916239,丹灶镇,珍丰路
 佛山市南海区大沥瑞记酸辣粉店,粤餐证字2013440605002597,2016-08-14,佛山市南海区大沥镇名汇购物港首层F40-F41铺,小吃店 ,23.114536,113.117893,大沥镇,园东路
 佛山市南海区大沥富宴小食店,粤餐证字2013440605002598,2015-11-09,佛山市南海区大沥镇水头雄边村口当铺壹、贰号铺,小吃店 ,23.097,113.123639,大沥镇,沥水北路
 佛山市南海世富科技有限公司,粤餐证字2013440605002599,2014-08-22,广东省佛山市南海区盐步横江村,食堂 ,23.1144,113.164794,大沥镇,横沙路
 佛山市南海区唐丽奶茶店,粤餐证字2013440605002600,2016-08-14,佛山市南海区狮山镇大榄圩商铺第10号,饮品店 ,23.124953,113.002144,狮山镇,博爱路
 佛山市南海区松岗龙瑞凤饮食店,粤餐证字2013440605002601,2016-08-14,佛山市南海区狮山镇松岗东街锅炉房D铺位,小吃店 ,23.124953,113.002144,狮山镇,博爱路
 佛山市南海区狮山镇石碣小学,粤餐证字2013440605002602,2016-08-14,佛山市南海区狮山镇松岗石碣贤泽市场侧,食堂 ,23.124953,113.002144,狮山镇,博爱路
 佛山市南海区大沥镇黄岐满记火锅店,粤餐证字2012440605000004,2015-04-05,佛山市南海区大沥镇黄岐九村综合商铺A13-17号,中型餐馆 ,23.115075,113.178028,大沥镇,东湖路
 佛山市南海区狮山兴贤幼儿园,粤餐证字2012440605000078,2015-04-22,佛山市南海区狮山镇兴贤村,食堂 ,23.124953,113.002144,狮山镇,博爱路
 佛山市南海区狮山镇小塘初级中学,粤餐证字2012440605000062,2015-04-17,佛山市南海区狮山镇小塘城区四环路,食堂 ,23.099157,112.977493,狮山镇,四环路
 佛山市南海区宏瑞美食店,粤餐证字2012440605000106,2015-04-26,佛山市南海区狮山镇狮山广场B座第一层外铺54、55、56号铺,小型餐馆 ,23.126844,113.004924,狮山镇,狮城路辅路
 广东三元麦当劳食品有限公司南海大道分店,粤餐证字2012440605000130,2015-03-12,佛山市南海区桂城街道南海大道北75号凯德广场首层,快餐店 ,23.035642,113.135355,桂城街道,南海大道
 佛山市南海区狮山云姐砂锅粥店,粤餐证字2012440605000244,2015-05-20,佛山市南海区狮山镇狮山广场B座第一层外铺64号铺,小吃店 ,23.126844,113.004924,狮山镇,狮城路辅路
 佛山市南海区国家税务局丹灶税务分局,粤餐证字2012440605000156,2015-05-08,佛山市南海区丹灶镇桂丹西路86号,食堂 ,23.055063,112.915861,丹灶镇,桂丹西路
 佛山市南海区狮山华涌幼儿园,粤餐证字2012440605000246,2015-05-20,佛山市南海区狮山镇华涌小学侧,食堂 ,23.139283,112.989193,狮山镇,广云路辅路
 佛山市南海区百汇餐厅,粤餐证字2012440605000359,2015-06-05,佛山市南海区狮山镇狮山广场B座第一层外铺53号铺,小吃店 ,23.126844,113.004924,狮山镇,狮城路辅路
 佛山市南海区阿辉美食店,粤餐证字2012440605000360,2015-06-05,佛山市南海区狮山镇狮山广场B座第一层外铺50号铺,小吃店 ,23.126844,113.004924,狮山镇,狮城路辅路
 佛山市南海区蜀渝人家川菜馆,粤餐证字2012440605000311,2015-05-30,佛山市南海区大沥城南二路8号钟边铁村新区商铺首层7.8.9.10号铺,中型餐馆 ,23.094767,113.109808,大沥镇,良濠路
 广东三元麦当劳食品有限公司佛山南海松岗桃园三路得来速分店,粤餐证字2012440605000086,2015-04-23,佛山市南海区狮山镇松岗桃园三路1号自编一层1F1A和二层2F2A商铺,快餐店 ,23.14905,113.095002,狮山镇,桃园三路
 佛山市南海区西樵镇铭泰酒楼,粤餐证字2012440605000456,2014-11-22,佛山市南海区西樵镇西樵村路边陈解放路综合楼的商铺第二层A2-01号,大型餐馆 ,22.951113,112.981046,西樵镇,解放路
 广州白云山敬修堂药业股份有限公司,粤餐证字2012440605000480,2014-10-07,佛山市南海区黄岐鄱阳路249号,食堂 ,23.118864,113.185016,大沥镇,鄱阳路
 佛山市南海区大沥奥亚幼儿园,粤餐证字2012440605000513,2015-07-04,佛山市南海区大沥镇沥水北路55号,食堂 ,23.102675,113.121307,大沥镇,沥水北路
 佛山市南海区关东餐厅,粤餐证字2012440605000526,2015-07-08,佛山市南海区狮山镇狮山广场B座第一层外铺62、63号铺,小型餐馆 ,23.126844,113.004924,狮山镇,狮城路辅路
 佛山市南海花奇美食店,粤餐证字2012440605000549,2015-07-12,佛山市南海区狮山镇小塘城区二环路德胜楼4号铺,小吃店 ,23.099157,112.977493,狮山镇,四环路
 佛山市南海区桂城一品湘湘菜馆,粤餐证字2012440605000604,2015-07-23,佛山市南海区桂城海辉路2号的广一大厦首层0101号铺,中型餐馆 ,23.042596,113.133124,桂城街道,海辉路
 广东三元麦当劳食品有限公司季华东分店,粤餐证字2012440605000650,2015-08-02,佛山市南海区桂城石一村西季华东路D13区地段,快餐店 ,23.03704,113.138438,桂城街道,桂城镇东约区新邨大街
 佛山市南海区里水镇政府招待所第二饭堂,粤餐证字2012440605000636,2015-07-29,佛山市南海区里水镇新兴路15号,食堂 ,23.199977,113.158748,里水镇,新兴路
 佛山市南海天知鸡食府,粤餐证字2012440605000672,2014-08-26,佛山市南海区大沥镇黄岐宏威路12号黄岐商业中心北区E座14-15号商铺,中型餐馆 ,23.122193,113.18791,大沥镇,岐西大街
 佛山市南海区大沥镇黄岐百口福豆浆面点店,粤餐证字2012440605000679,2014-11-22,佛山市南海区黄岐鄱阳路148号之三,中型餐馆 ,23.119302,113.183117,大沥镇,鄱阳路
 广东三元麦当劳食品有限公司海八路得来速分店,粤餐证字2012440605000695,2015-08-12,佛山市南海区桂城文华北路1号,快餐店 ,23.070146,113.119127,桂城街道,文华北路
 佛山市南海区鹏鸿酒家,粤餐证字2012440605000742,2015-08-20,佛山市南海区桂城佛平五路夏东工业区7号铺,大型餐馆 ,23.039375,113.17583,桂城街道,聚元北路
 广东三元麦当劳食品有限公司南海城市广场分店,粤餐证字2012440605000697,2015-08-12,佛山市南海区桂城桂澜路休闲购物广场A103及A205,快餐店 ,23.03704,113.138438,桂城街道,桂城镇东约区新邨大街
 佛山市尚宴美食馆,粤餐证字2012440605000785,2015-08-27,佛山市南海区桂城街道灯湖东路和海六路交界保利水城东广场内四层4D003和4D004号铺,大型餐馆 ,23.036977,113.138543,桂城街道,桂城镇东约区新邨大街
 佛山市南海区薯乐休闲美食餐厅,粤餐证字2012440605000829,2015-09-03,佛山市南海区大沥镇竹基南路8号兴沥雄广场四楼D-09铺,小吃店 ,23.109454,113.113369,大沥镇,民乐路后街
 佛山市南海区泳辉美食店,粤餐证字2012440605000832,2015-09-03,佛山市南海区狮山镇狮山广场B座第一层36、37号铺,小吃店 ,23.126844,113.004924,狮山镇,狮城路辅路
 广东三元麦当劳食品有限公司里水分店,粤餐证字2012440605000858,2015-09-04,佛山市南海区里水镇夏塘路新天地广场首层1036号,快餐店 ,23.200653,113.151493,里水镇,下塘路
 佛山市南海区松岗馨品餐厅,粤餐证字2012440605000869,2015-01-16,佛山市南海区狮山镇松岗显纲西村盟沙塘商铺2号铺,大型餐馆 ,23.133856,113.098702,狮山镇,X493(松岗大道南)
 佛山市幸运楼餐饮有限公司,粤餐证字2012440605000909,2015-09-11,佛山市南海区大沥镇黄岐广佛公路以南荔盈大厦首层01商铺、第二层01商铺,特大型餐馆 ,23.115515,113.189077,大沥镇,广佛路黄岐段
 广州市麦点九毛九餐饮连锁有限公司国昌分店,粤餐证字2012440605000910,2015-09-10,佛山市南海区大沥镇黄岐海北建设大道2A-18号商铺,中型餐馆 ,23.143815,113.184697,大沥镇,泌一新村七巷
 佛山市南海区全旺酒楼,粤餐证字2012440605000912,2014-10-20,佛山南海区大沥镇沥中李潘电器街65号、69号-76号,中型餐馆 ,23.119568,113.117111,大沥镇,新区东一路
 东普雷(佛山)汽车部件有限公司,粤餐证字2012440605000987,2015-09-24,佛山市南海区狮山镇狮山科技工业园北园中路19号,食堂 ,23.163133,112.983768,狮山镇,北园中路
 佛山市诚隆餐饮有限公司嘉趣茶餐分店,粤餐证字2012440605001058,2015-10-10,佛山市南海区桂城怡海路南海壹品广场15号楼东侧01商铺,大型餐馆 ,23.022549,113.156604,桂城街道,怡海路
 佛山市南海区国源饮食店,粤餐证字2012440605001030,2015-09-28,佛山市南海区狮山镇松岗石碣华兴农贸综合市场A40号商铺,中型餐馆 ,23.124953,113.002144,狮山镇,博爱路
 佛山市南海区夏小姐饮品店,粤餐证字2012440605001088,2015-10-14,佛山市南海区桂城街道桂平西1路毅怡新天地广场新光百货二层自编213铺,饮品店 ,23.200653,113.151493,里水镇,下塘路
 佛山启盈盛餐饮管理有限公司,粤餐证字2012440605001136,2015-10-23,佛山市南海区南桂东路桂南名都首层,快餐店 ,23.035186,113.149581,桂城街道,南桂东路
 佛山市南海区西樵镇第五小学,粤餐证字2012440605001154,2015-10-26,佛山市南海区西樵镇爱国村,食堂 ,22.943013,112.956841,西樵镇,上塱大道
 佛山市新怡内衣营销有限公司康怡分公司,粤餐证字2012440605001193,2015-11-02,佛山市南海区大沥镇盐步蟾兴路1号,食堂 ,23.099679,113.168894,大沥镇,皇朝西路
 佛山市南海区西樵芬香小食店,粤餐证字2012440605001217,2015-11-06,佛山市南海区西樵官山茶行街1号前和1号后,饮品店 ,22.949658,112.976149,西樵镇,庆和街
 佛山市南海区大沥镇沥东小学,粤餐证字2012440605001315,2014-11-09,佛山市南海区大沥镇沥东小学内,食堂 ,23.114086,113.12535,大沥镇,沥东路
 佛山市南海麦霸俱乐部,粤餐证字2012440605001340,2015-11-26,佛山市南海区里水镇胜利村综合楼2、3、4层,小吃店 ,23.193466,113.173384,里水镇,盛平大道
 佛山市明珠海港餐饮有限公司,粤餐证字2012440605001346,2015-11-26,佛山市南海区狮山镇松岗南国桃园天安鸿基花园商业服务中心,大型餐馆 ,23.177915,113.110863,狮山镇,S267(桂和路)
 广东柏华容器有限公司,粤餐证字2012440605001378,2015-11-28,佛山市南海区里水镇和顺大文教路南郊工业区,食堂 ,23.246027,113.139059,里水镇,
 广东三元麦当劳食品有限公司罗村府前路分店,粤餐证字2012440605001409,2015-12-05,广东省佛山市南海区罗村府前路金盛广场自编首层101、102号铺、二层201、202、203号铺（佛山市南海区罗村街道罗村村委会“金盛广场”地段）,快餐店 ,23.121777,113.288488,大东街道,新河浦路
 广东三元麦当劳食品有限公司灯湖东路得来速分店,粤餐证字2012440605001420,2015-12-10,佛山市南海区桂城街道85区地段保利水城东广场首层C258号商铺,快餐店 ,23.063821,113.143095,桂城街道,灯湖东路
 佛山市南海银泉汇娱乐有限公司,粤餐证字2012440605001437,2015-12-12,佛山市南海区大沥镇黄岐广佛路大转弯238号凯民茶博城内A12座二楼（13）-（23）和A12座三楼C9-C15铺,小型餐馆 ,23.108261,113.176171,大沥镇,广佛路
 佛山市南海区里水小勇饮食店,粤餐证字2012440605001441,2015-12-16,佛山市南海区里水镇里水大道南100-1号,小型餐馆 ,23.144587,113.159025,里水镇,里水大道
 广东三元麦当劳食品有限公司狮山狮城路得来速分店,粤餐证字2012440605001502,2015-12-25,佛山市南海区狮山镇狮城路信富广场首层01号商铺,快餐店 ,23.042302,113.10713,祖庙街道,高基街
 广东三元麦当劳食品有限公司南海里水里广路得来速分店,粤餐证字2012440605001504,2015-12-25,佛山市南海区里水镇里广路6号金名都商业街3号（G2-3）楼整栋（南海区里水镇洲村村“茶坑”）,快餐店 ,23.179568,113.202323,里水镇,里广路
 广东省公安民警培训中心,粤餐证字2012440605001512,2015-12-26,佛山市南海区狮山镇穆院警察培训中心,食堂 ,23.128954,113.017903,狮山镇,S263(广云路)
 佛山市南海区狮山石门高级中学,粤餐证字2013440605001559,2016-01-10,佛山市南海区狮山镇红星路,食堂 ,23.124953,113.002144,狮山镇,博爱路
 佛山市南海区松岗五尖山饮食店,粤餐证字2013440605001563,2016-01-13,佛山市南海区狮山镇松岗显子岗显东村墟10号铺,小型餐馆 ,23.147192,113.096797,狮山镇,松岗大道
